Year,Month,Day_of_week,Weekend,Trips,Med_Income_Orig,Pop_den_Orig,Per_Male_Orig,Working_age_Orig,Elderly_Orig,Avg_Hhold_Orig,Married_Orig,F_Married_Orig,HighSchool_higher_Orig,Bachelor_Higher_Orig,Commute_PC_Orig,Com_LU_Orig,Gov_LU_Orig,Ind_LU_Orig,Parks_LU_Orig,Res_LU_Orig,Med_Income_Des,Pop_den_Des,Per_Male_Des,Working_age_Des,Elderly_Des,Avg_Hhold_Des,Married_Des,F_Married_Des,HighSchool_higher_Des,Bachelor_Higher_Des,Com_LU_Des,Com_LU_Des,Gov_LU_Des,Ind_LU_Des,Parks_LU_Des,Res_LU_Des,Avgerage_Temp,Precipitation,Snow,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index
3,4,5,0,1,45184.36,4660.540677,0.501,0.599,0.08,3.54,0.414,0.365,0.656,0.091,0.392,0.035739214,0.01292764,0.163999842,0,0.128965772,95222.08,5521.705052,0.529,0.761,0.173,1.68,0.317,0.337,0.991,0.709,0.688,0,0.003743148,0,0,0.123539104,11,0.51,0,551,8,51,0.0758,0.373,0.222,51.85
2,11,0,0,1,48439.36,7074.858929,0.476,0.644,0.24,1.7,0.319,0.304,0.893,0.498,0.627,0.001458884,0.025844425,0,0,0.158091485,52232.52,14172.41754,0.543,0.824,0.14,1.49,0.264,0.287,0.957,0.557,0.637,0.05709627,0.024393733,0,0,0.193424782,5,0,0,2322,15,119,0.1369,0,0,56.02
2,3,4,0,131,187274.72,3412.905497,0.513,0.836,0.035,1.79,0.42,0.425,0.99,0.841,0.6,0.09582844,0.009420857,0.094308484,0.005731105,0.053664057,135288.96,14177.20228,0.502,0.887,0.028,1.67,0.454,0.428,0.988,0.892,0.721,0.111274819,0.013904555,0,0.01919384,0.066354501,5,0,0,32,0,12,0.0924,0,0,29.63
2,9,0,0,1,176762,1708.65603,0.602,0.877,0.044,2.05,0.292,0.425,0.983,0.741,0.517,0.063452679,0.009132152,0.110705935,0.002609637,0.051509695,55708.24,8779.783567,0.504,0.656,0.132,3.12,0.493,0.477,0.687,0.274,0.461,0.025098879,0.002609809,0,0,0.137416338,18,0,0,421,2,28,0.0453,0,0,55.09
3,6,3,0,1,117552,9027.915275,0.475,0.73,0.062,2.25,0.372,0.427,0.958,0.779,0.502,0.014004367,0.017530807,0,0,0.1698805,88538.48,8721.419116,0.573,0.794,0.065,2.24,0.355,0.456,0.895,0.513,0.609,0.037420188,0.016511931,0.001385863,0,0.115192206,22,0,0,96,7,14,0.0148,0.534,0.453,50
3,1,6,1,4,148864.48,2306.730211,0.536,0.797,0.044,2.18,0.394,0.442,0.989,0.745,0.396,0.085620816,0.010884085,0.082297468,0,0.073469801,163556,11721.11567,0.594,0.853,0.023,2.07,0.29,0.398,0.995,0.862,0.686,0.031625911,0.010678931,0,0,0.31405111,0,0.05,15.2,392,15,60,0.0777,0.031,0.009,61.11
3,5,3,0,2,214334,9172.609069,0.529,0.761,0.059,2.69,0.456,0.524,0.944,0.8,0.525,0.071651833,0.021121531,0,0,0.216685434,96230.2,41035.94501,0.509,0.823,0.126,1.51,0.264,0.242,0.958,0.799,0.745,0.012889473,0.020317414,0,0,0.057651884,10,0.18,0,399,8,56,0.034,0.472,0.368,50
2,7,4,0,1,68622.84,7577.245794,0.474,0.687,0.087,2.6,0.323,0.246,0.878,0.336,0.481,0.004732028,0.091648083,0,0,0.306805785,14288.52,6981.466839,0.329,0.499,0.053,2.57,0.293,0.066,0.841,0.126,0.618,0.002349817,0.02227085,0,0.003737398,0.065333992,27,0,0,176,5,29,0.0425,0,0,55.56
2,6,0,0,1,55708.24,8779.783567,0.504,0.656,0.132,3.12,0.493,0.477,0.687,0.274,0.461,0.025098879,0.002609809,0,0,0.137416338,117578.04,7806.843615,0.464,0.582,0.158,2.45,0.561,0.429,0.933,0.716,0.402,0.053059931,0.009744523,0.000782023,0,0.231640964,26,0,0,274,15,40,0.0619,0,0,73.15
3,7,2,0,1,141714.64,6014.727781,0.461,0.724,0.134,2.13,0.407,0.363,0.987,0.808,0.734,0.029389332,0.075057477,0,0,0.128956326,40267.76,12068.90654,0.52,0.745,0.06,1.89,0.293,0.35,0.883,0.48,0.636,0.015409692,0.42587906,0.003133571,0.003983048,0.19525999,27,0,0,72,2,5,0.0103,0.568,0.507,34.26
