Month,Day_of_week,Weekend,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index,Per_Reduction
4,1,0,556,25,198,0.3018,0,0,82.41,-0.981202465
10,3,0,1307,4,71,0.088,0,0,54.63,-0.760356361
5,1,0,942,46,126,0.2001,0,0,82.41,-0.970997939
7,3,0,319,3,33,0.0458,0,0,58.33,-0.808260942
7,2,0,309,4,28,0.0377,0,0,58.33,-0.849572475
7,3,0,223,1,9,0.0322,0.579,0.518,32.41,-0.718388672
3,4,0,590,6,38,0.05,0.275,0.144,54.63,-0.683208253
12,0,0,2068,34,123,0.1145,0,0,61.11,-0.893634612
8,2,0,388,3,37,0.0495,0,0,55.09,-0.827074225
12,2,0,2050,34,115,0.1283,0,0,61.11,-0.877109998
11,1,0,3360,14,149,0.1544,0,0,56.02,-0.865036742
2,6,1,157,8,24,0.0351,0.121,0.05,54.63,-0.84371444
6,5,0,46,4,9,0.0037,0.547,0.476,37.96,-0.472697906
11,6,1,1106,11,115,0.1663,0,0,56.02,-0.85877064
7,6,1,18,1,4,0.008,0.565,0.504,34.26,-0.685348356
4,5,0,462,9,47,0.0622,0.328,0.177,51.85,-0.602438168
10,4,0,415,3,28,0.047,0,0,55.09,-0.628022973
7,5,0,118,0,5,0.0258,0.575,0.515,34.26,-0.469700588
6,1,0,33,3,3,0.0045,0.556,0.491,37.96,-0.788119601
5,1,0,755,23,77,0.1204,0,0,82.41,-0.960320981
7,0,0,393,5,23,0.0468,0,0,58.33,-0.884605916
3,0,0,730,3,44,0.0436,0.292,0.153,51.85,-0.850638072
3,6,1,3,0,9,0.1176,0,0,13.89,-0.345713441
1,3,0,1053,15,67,0.0709,0.028,0.009,61.11,-0.829053189
1,4,0,1207,18,58,0.0838,0.022,0.004,57.41,-0.762461307
7,1,0,239,1,7,0.032,0.583,0.521,32.41,-0.784308651
1,0,0,1354,16,90,0.0774,0.024,0.006,61.11,-0.867698108
9,5,0,233,4,23,0.0497,0,0,55.09,-0.55437086
11,4,0,2302,31,130,0.1142,0,0,61.11,-0.811951159
5,3,0,399,8,56,0.034,0.472,0.368,50,-0.773264246
5,0,0,45,2,18,0.0127,0.529,0.446,50,-0.83188778
5,0,0,1017,38,128,0.1954,0,0,82.41,-0.969302433
3,1,0,560,5,44,0.0364,0.252,0.133,54.63,-0.836003185
5,5,0,89,6,24,0.0239,0.528,0.445,50,-0.491904882
1,4,0,1207,18,58,0.0838,0.022,0.004,57.41,-0.762461307
7,3,0,119,0,10,0.035,0.585,0.522,32.41,-0.682210897
7,6,1,69,2,6,0.0161,0.57,0.51,34.26,-0.734661019
4,0,0,694,33,155,0.2989,0,0,82.41,-0.980320592
3,4,0,404,8,155,0.2909,0,0,82.41,-0.957575627
1,6,1,160,16,44,0.0542,0.063,0.018,57.41,-0.916728092
12,2,0,1221,21,100,0.0896,0.009,0,61.11,-0.834092461
6,3,0,41,2,18,0.0043,0.544,0.471,37.96,-0.735259735
3,0,0,78,1,17,0.0964,0,0,40.74,-0.705071345
5,0,0,1120,48,126,0.2586,0,0,82.41,-0.967900886
9,6,1,124,3,28,0.0478,0,0,55.09,-0.812977884
3,3,0,413,2,136,0.2884,0,0,82.41,-0.97354907
3,2,0,337,5,26,0.0276,0.152,0.078,54.63,-0.820134727
6,1,0,51,2,6,0.0036,0.55,0.481,37.96,-0.810670344
12,1,0,2059,34,87,0.1163,0,0,61.11,-0.879613887
3,0,0,290,3,107,0.2163,0,0,82.41,-0.974052997
7,6,1,89,3,17,0.0405,0,0,55.56,-0.89602051
12,5,0,1207,11,92,0.1526,0,0,61.11,-0.754199
3,2,0,474,9,34,0.0343,0.216,0.118,54.63,-0.801946104
2,5,0,213,9,18,0.0406,0.121,0.049,54.63,-0.580260121
8,0,0,428,3,31,0.0544,0,0,58.33,-0.876926275
1,4,0,1207,18,58,0.0838,0.022,0.004,57.41,-0.762461307
8,4,0,347,3,26,0.0493,0,0,58.33,-0.711386183
